run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,epsilon,baseline_turing_unstable,baseline_growth,ode_persistent,pde_persistent,classification,mean_w_ode,mean_w_pde,var_u_final,var_v_final,var_w_final,final_pattern_strength,final_pattern_measurable,final_quarter_mean_pattern_strength,persistent_pattern_measurable,dominant_wavelength_final,dominant_power_final,min_z_final,negative_detected,z_negative_detected,status
long_001,longtime,baseline_longtime,0.85,100.0,0.0,35.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,0.9924791167509519,1.7266295015765983e-06,9.99584076527691e-06,8.407933784336144e-08,9.99584076527691e-06,False,3.2550368073123523e-06,False,1.708715315433522,0.031341753457955465,5.039081913080171,False,False,ok
long_002,longtime,baseline_longtime,0.85,100.0,0.65,35.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.00012542284730004272,0.0001219828470090402,6.2751791301162415e-15,6.2508360547832766e-15,1.9612042504367967e-22,6.2751791301162415e-15,False,2.0190455115171982e-14,False,8.944271909999157,5.034374517712654e-10,1.1976318494098819,False,False,ok
long_003,longtime,baseline_longtime,0.85,100.0,0.675,35.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",5.705579488998314e-05,5.5198282623936524e-05,6.432321117553959e-15,6.407760305854605e-15,4.462971950556449e-23,6.432321117553959e-15,False,2.0703488351551482e-14,False,8.944271909999157,5.137801017058908e-10,1.1975414581689319,False,False,ok
long_004,longtime,baseline_longtime,0.85,100.0,0.7,35.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",2.5699262577359577e-05,2.471841658275549e-05,6.573006759349492e-15,6.5480904338283185e-15,9.819040965718053e-24,6.573006759349492e-15,False,2.116337080108046e-14,False,8.944271909999157,5.228676762084533e-10,1.1974994564146466,False,False,ok
long_005,longtime,baseline_longtime,0.85,100.0,0.0,70.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,1.0369037157585408,0.09840333899169561,0.21019280622997408,0.0006942974146405259,0.21019280622997408,True,0.13483480738377157,True,1.7888543819998317,1785.7787226556227,3.3967174994863574,False,False,ok
long_006,longtime,baseline_longtime,0.85,100.0,0.65,70.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.847522156208444e-08,1.7429355066067684e-08,2.010657873688451e-18,2.0104676102688985e-18,6.992831311434603e-31,2.010657873688451e-18,False,2.5152326536577882e-17,False,8.944271909999157,2.3871336670437227e-13,1.1974298948474957,False,False,ok
long_007,longtime,baseline_longtime,0.85,100.0,0.675,70.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",3.526778308593407e-09,3.2689602719654126e-09,2.058029281340188e-18,2.0578356892554707e-18,2.7320617071599845e-32,2.058029281340188e-18,False,2.5756022521018145e-17,False,8.944271909999157,2.436719477954959e-13,1.1974298754231523,False,False,ok
long_008,longtime,baseline_longtime,0.85,100.0,0.7,70.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",6.722341147545689e-10,6.063748504707662e-10,2.100283976997624e-18,2.1000866017368254e-18,1.0305628231383787e-33,2.100283976997624e-18,False,2.6295050900492733e-17,False,8.944271909999157,2.4803274317907486e-13,1.197429871701215,False,False,ok
long_009,longtime,baseline_longtime,0.85,100.0,0.0,120.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,1.0535825762312072,0.10915066833900908,0.18211428805484184,0.0009697695021926179,0.18211428805484184,True,0.18332048845202398,True,1.7888543819998317,1706.8264826732309,3.443584794710926,False,False,ok
long_010,longtime,baseline_longtime,0.85,100.0,0.65,120.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.0521175896875095e-13,5.611662115719012e-14,3.280064317242871e-23,3.2800813550406156e-23,6.0544989526611706e-43,3.2800813550406156e-23,False,3.86093311496774e-21,False,8.944271909999157,4.203540412654123e-18,1.1974298495329652,False,False,ok
long_011,longtime,baseline_longtime,0.85,100.0,0.675,120.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",-4.5987462545256926e-14,2.9904489258331118e-15,3.3544709742699545e-23,3.354464406652923e-23,1.9066795220356066e-45,3.3544709742699545e-23,False,3.949890394491503e-21,False,8.944271909999157,4.2913417116259765e-18,1.1974298495328906,False,False,ok
long_012,longtime,baseline_longtime,0.85,100.0,0.7,120.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.992129189657533e-14,1.574854426149284e-16,3.420717199722333e-23,3.420728207816705e-23,5.788064267664433e-48,3.420728207816705e-23,False,4.02915828997677e-21,False,8.944271909999157,4.3688231791565205e-18,1.1974298495328861,False,False,ok
long_013,longtime,baseline_longtime,0.85,100.0,0.0,200.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.9924802199434839,1.0547007050408166,0.1081795305778222,0.1814335726645194,0.000980055369383618,0.1814335726645194,True,0.18127593009014187,True,1.7888543819998317,1757.5380462896799,3.471555756412866,False,False,ok
long_014,longtime,baseline_longtime,0.85,100.0,0.65,200.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",5.182202287229235e-14,9.153902056865417e-23,1.5503308067885162e-30,1.5777218104420236e-30,3.0361186002302026e-62,1.5777218104420236e-30,False,4.814078321848906e-27,False,8.944271909999157,1.7659008440079664e-25,1.1974298495323303,False,False,ok
long_015,longtime,baseline_longtime,0.85,100.0,0.675,200.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",2.895623061678079e-15,6.514447534454049e-25,1.108118270026892e-30,1.2560296897558318e-30,1.7009263185620224e-66,1.2560296897558318e-30,False,4.91318470190466e-27,False,8.944271909999157,1.2392499386113627e-25,1.1974298495323303,False,False,ok
long_016,longtime,baseline_longtime,0.85,100.0,0.7,200.0,36,36,0.025,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",-1.2997667261742913e-15,4.5757006146775445e-27,7.0912265014080155e-31,7.366658260368283e-31,9.16233283469281e-71,7.366658260368283e-31,False,4.99138587411449e-27,False,14.142135623730947,1.0148752618886786e-25,1.19742984953233,False,False,ok
long_017,longtime,baseline_longtime,0.85,100.0,0.0,35.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,0.9924804669368448,3.1383818561456263e-07,1.8107388264652592e-06,1.628575255944657e-08,1.8107388264652592e-06,False,5.943536138031824e-07,False,2.1081851067789192,0.10195571343248233,5.046134766328117,False,False,ok
long_018,longtime,baseline_longtime,0.85,100.0,0.65,35.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.00012542284730004272,0.00012403925269175337,2.0748237766183578e-15,2.067218497191294e-15,5.765983038093087e-23,2.0748237766183578e-15,False,6.568087703346457e-15,False,8.944271909999157,1.0820372045417953e-09,1.19763457787683,False,False,ok
long_019,longtime,baseline_longtime,0.85,100.0,0.675,35.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",5.705579488998314e-05,5.630757459609323e-05,2.138115646760363e-15,2.130176432734004e-15,1.327646908338129e-23,2.138115646760363e-15,False,6.767451176624815e-15,False,8.944271909999157,1.1105073769658594e-09,1.1975429069554544,False,False,ok
long_020,longtime,baseline_longtime,0.85,100.0,0.7,35.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",2.5699262577359577e-05,2.5303514781304096e-05,2.1955408258815292e-15,2.187333923666064e-15,2.9568959108021353e-24,2.1955408258815292e-15,False,6.948226712456245e-15,False,8.944271909999157,1.1360863689366613e-09,1.1975001809348897,False,False,ok
long_021,longtime,baseline_longtime,0.85,100.0,0.0,70.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,1.0380286929116904,0.06268655618767419,0.16821990411566984,0.0007154938126584418,0.16821990411566984,True,0.07427457870946862,True,2.1081851067789192,24088.42457098166,3.422441637600646,False,False,ok
long_022,longtime,baseline_longtime,0.85,100.0,0.65,70.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.847522156208444e-08,1.802323488372393e-08,6.649462938257161e-19,6.648839789290115e-19,2.126386273929615e-31,6.649462938257161e-19,False,8.385467925537867e-18,False,20.0,6.029772507507563e-13,1.1974298957291178,False,False,ok
long_023,longtime,baseline_longtime,0.85,100.0,0.675,70.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",3.526778308593407e-09,3.4030244926946873e-09,6.859163015377069e-19,6.858517801304078e-19,8.469442342940615e-33,6.859163015377069e-19,False,8.646677624192303e-18,False,20.0,6.258701615712091e-13,1.1974298756718433,False,False,ok
long_024,longtime,baseline_longtime,0.85,100.0,0.7,70.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",6.722341147545689e-10,6.358925876644573e-10,7.050131996241326e-19,7.0494688805869715e-19,3.2607148889379464e-34,7.050131996241326e-19,False,8.884268447829774e-18,False,20.0,6.469562845175305e-13,1.1974298718003946,False,False,ok
long_025,longtime,baseline_longtime,0.85,100.0,0.0,120.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.992480219943484,1.0603993727655792,0.07199655902021238,0.1326873949213923,0.0007037598237446579,0.1326873949213923,True,0.1323302709424162,True,2.1081851067789192,33572.6934417364,3.588527078665436,False,False,ok
long_026,longtime,baseline_longtime,0.85,100.0,0.65,120.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.0521175896875095e-13,5.943699475616038e-14,1.0554121610876772e-23,1.0554147692879341e-23,1.9475033787391384e-43,1.0554147692879341e-23,False,1.2564737842499417e-21,False,20.0,1.4292280140270568e-17,1.1974298495329747,False,False,ok
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",-4.5987462545256926e-14,3.20465077459255e-15,1.0899881062986873e-23,1.0899851332502618e-23,6.321093216180505e-46,1.0899881062986873e-23,False,1.2968948251941411e-21,False,20.0,1.4845618795436213e-17,1.1974298495328966,False,False,ok
long_028,longtime,baseline_longtime,0.85,100.0,0.7,120.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.992129189657533e-14,1.7094422743179795e-16,1.1215921912770461e-23,1.121557515746177e-23,1.9818874146044044e-48,1.1215921912770461e-23,False,1.3337772376329104e-21,False,20.0,1.5358299841989508e-17,1.197429849532891,False,False,ok
long_029,longtime,baseline_longtime,0.85,100.0,0.0,200.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,True,True,"ODE persistent, PDE persistent",0.9924802199434839,1.0610293629599845,0.07300003264241009,0.13420589562778013,0.0007041101989755983,0.13420589562778013,True,0.13376287968735362,True,2.1081851067789192,40336.34331118712,3.563339086850238,False,False,ok
long_030,longtime,baseline_longtime,0.85,100.0,0.65,200.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",5.182202287229235e-14,1.0074738753664321e-22,1.5795514438891915e-30,9.896391019233811e-31,1.0692285813147316e-62,1.5795514438891915e-30,False,1.566209271533624e-27,False,20.0,1.2543671602751516e-24,1.19742984953233,False,False,ok
long_031,longtime,baseline_longtime,0.85,100.0,0.675,200.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",2.895623061678079e-15,7.312469694720367e-25,1.0002798648661206e-30,2.545116421507732e-31,6.282976913327051e-67,1.0002798648661206e-30,False,1.5859453594813954e-27,False,20.0,3.8437384008032888e-25,1.19742984953233,False,False,ok
long_032,longtime,baseline_longtime,0.85,100.0,0.7,200.0,64,64,0.01,20260610,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",-1.2997667261742913e-15,5.248387263158647e-27,1.0413503209301784e-30,1.0413503209301784e-30,3.562839823441028e-71,1.0413503209301784e-30,False,1.6365880989893793e-27,False,20.0,9.102135032630913e-25,1.1974298495323303,False,False,ok
long_033,longtime,baseline_96_spot,0.85,100.0,0.65,70.0,96,96,0.004,20260611,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.847522156208444e-08,1.8265465910878212e-08,4.0852934515048874e-19,4.0849070364773756e-19,3.2962001322781414e-32,4.0852934515048874e-19,False,4.98455749018404e-18,False,8.944271909999157,2.1242575899173165e-12,1.197429896088061,False,False,ok
long_034,longtime,baseline_96_spot,0.85,100.0,0.675,70.0,96,96,0.004,20260611,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",3.526778308593407e-09,3.457944579477994e-09,4.191077843407651e-19,4.19068271657875e-19,1.3160372180859216e-33,4.191077843407651e-19,False,5.114609833238017e-18,False,8.944271909999157,2.169924702118859e-12,1.19742987577298,False,False,ok
long_035,longtime,baseline_96_spot,0.85,100.0,0.7,70.0,96,96,0.004,20260611,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",6.722341147545689e-10,6.480427144064124e-10,4.2859888958043464e-19,4.2855856135555916e-19,5.080600437578329e-35,4.2859888958043464e-19,False,5.231327340652256e-18,False,8.944271909999157,2.2101826818724388e-12,1.197429871840386,False,False,ok
