run_id,stage,model_type,evolve,T,n_x,n_y,L_x,L_y,dt,D_n,D_w,D_q,seed,stress_low,stress_high,threshold,threshold_gap,threshold_tolerance,threshold_status,physical_low,physical_high,persistent_low,persistent_high,tail_mean_w_low,tail_mean_w_high,q_tail_mean_low,q_change_low,q_clip_count_low,q_clip_max_violation_low,q_clip_count_high,q_clip_max_violation_high,tail_mean_var_q_low,tail_mean_spatial_covariance_bonus_low,notes
ODE_001,ODE_reference,ODE,False,1500.0,,,,,,,,,,0.06944335937500001,0.069453125,0.06944824218750001,9.765624999991118e-06,1e-05,ok,True,True,True,False,0.010767683940847686,0.010700297507442067,0.6726147415697108,3.3306690738754696e-16,0,0.0,0,0.0,0.0,0.0,Step 09A ODE threshold recomputed for spatial comparison
ODE_002,ODE_reference,ODE,True,1500.0,,,,,,,,,,0.16486328125,0.16487304687499998,0.1648681640625,9.765624999991118e-06,1e-05,ok,True,True,True,False,0.00010073844009782979,9.941625653692965e-05,8.020852022600308e-06,-0.6726067207176879,0,0.0,0,0.0,0.0,0.0,Step 09A ODE threshold recomputed for spatial comparison
PDE_001,Stage_A_fast_pde_check,PDE,False,300.0,36,36,20.0,20.0,0.1,0.01,0.01,0.005,20260701,0.069375,0.07,0.06968750000000001,0.0006250000000000006,0.001,ok,True,True,True,False,0.04528712550450309,0.04150555634706909,0.6726147415697104,-2.220446049250313e-16,0,0.0,0,0.0,9.445005976146841e-11,1.6455915170297977e-12,PDE no-evolution freezes q
PDE_002,Stage_A_fast_pde_check,PDE,True,300.0,36,36,20.0,20.0,0.1,0.01,0.01,0.005,20260701,0.15187500000000004,0.15250000000000002,0.15218750000000003,0.0006249999999999867,0.001,ok,True,True,True,False,0.0001109145138242301,9.470282412005349e-05,0.11448462257833103,-0.5581301189913795,0,0.0,0,0.0,1.1106964983259651e-13,1.04000943988186e-16,PDE q diffuses and evolves
PDE_003,Stage_B_main_validation,PDE,False,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260702,0.0690625,0.069375,0.06921875,0.0003125000000000072,0.0005,ok,True,True,True,False,0.031095069278534535,0.02902475099828094,0.6726147415697105,0.0,0,0.0,0,0.0,1.0171530379113635e-10,3.4946302865838285e-13,PDE no-evolution freezes q
PDE_004,Stage_B_main_validation,PDE,True,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260702,0.1175,0.11781249999999999,0.11765624999999999,0.00031249999999999334,0.0005,ok,True,True,True,False,0.7392604148813329,0.7442972702451629,0.31440241176773714,-0.3582123298019733,0,0.0,0,0.0,5.66868509425538e-14,-6.628421352793443e-14,PDE q diffuses and evolves
PDE_005,Stage_B_main_validation,PDE,False,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260703,0.0690625,0.069375,0.06921875,0.0003125000000000072,0.0005,ok,True,True,True,False,0.031095131334451905,0.02902481037246102,0.6726147415697104,0.0,0,0.0,0,0.0,9.734579306490084e-11,3.4067751952929416e-13,PDE no-evolution freezes q
PDE_006,Stage_B_main_validation,PDE,True,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260703,0.1175,0.11781249999999999,0.11765624999999999,0.00031249999999999334,0.0005,ok,True,True,True,False,0.7392603130417038,0.7442971643860853,0.3144024354736729,-0.35821230609603744,0,0.0,0,0.0,7.30903290026834e-14,-8.628890704262323e-14,PDE q diffuses and evolves
PDE_007,Stage_B_main_validation,PDE,False,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260704,0.0690625,0.069375,0.06921875,0.0003125000000000072,0.0005,ok,True,True,True,False,0.031095138673365004,0.029024817351633807,0.6726147415697105,0.0,0,0.0,0,0.0,1.0296767417649883e-10,3.694529832785384e-13,PDE no-evolution freezes q
PDE_008,Stage_B_main_validation,PDE,True,500.0,64,64,20.0,20.0,0.1,0.01,0.01,0.005,20260704,0.1175,0.11781249999999999,0.11765624999999999,0.00031249999999999334,0.0005,ok,True,True,True,False,0.7392603074006667,0.7442971585610031,0.3144024368864671,-0.3582123046832434,0,0.0,0,0.0,3.20347274515028e-14,-3.5967994241379394e-14,PDE q diffuses and evolves
PDE_009,Stage_C_grid_escalation,PDE,False,600.0,96,96,20.0,20.0,0.1,0.01,0.01,0.005,20260705,0.06875,0.069375,0.0690625,0.0006250000000000006,0.00075,ok,True,True,True,False,0.029060940301675806,0.024736955811792263,0.6726147415697104,0.0,0,0.0,0,0.0,1.0211135172352698e-10,7.271215708989267e-14,PDE no-evolution freezes q
PDE_010,Stage_C_grid_escalation,PDE,True,600.0,96,96,20.0,20.0,0.1,0.01,0.01,0.005,20260705,0.15812500000000002,0.15875,0.1584375,0.0006249999999999867,0.00075,ok,True,True,True,False,0.00012020947216698528,8.611957161834079e-05,0.010489979952368148,-0.6621247616173422,0,0.0,0,0.0,1.087287306847974e-16,1.0770390428979068e-18,PDE q diffuses and evolves
