shape_label,gamma_r,gamma_a,gamma_b,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,positive_modes_count,near_zero_modes_count,linearly_spatially_stable,notes
linear_reference,1.0,1.0,1.0,0.11765625,0.332157784744,-0.023581704068810348,-0.023766754087381103,0,1,0,0,True,nonzero_neumann_modes_tested
linear_reference,1.0,1.0,1.0,0.1584375,0.214150791737,-0.01589389491785855,-0.016078946462873105,0,1,0,0,True,nonzero_neumann_modes_tested
linear_reference,1.0,1.0,1.0,0.16486816,0.195542660558,-0.014652470611619752,-0.014837522429573072,0,1,0,0,True,nonzero_neumann_modes_tested
linear_reference,1.0,1.0,1.0,0.175,0.166224580018,-0.012681581443340431,-0.012866633706688996,0,1,0,0,True,nonzero_neumann_modes_tested
all_concave,0.5,0.5,0.5,0.11765625,0.110328793966,-0.02358219860277589,-0.02376724860790285,0,1,0,0,True,nonzero_neumann_modes_tested
all_concave,0.5,0.5,0.5,0.1584375,0.045860561602,-0.015951057408043617,-0.016136107476240204,0,1,0,0,True,nonzero_neumann_modes_tested
all_concave,0.5,0.5,0.5,0.16486816,0.038236932098,-0.014719786222432533,-0.014904836314783534,0,1,0,0,True,nonzero_neumann_modes_tested
all_concave,0.5,0.5,0.5,0.175,0.027630611002,-0.012765533147767731,-0.01295058328512215,0,1,0,0,True,nonzero_neumann_modes_tested
all_convex,2.0,2.0,2.0,0.11765625,0.576331315082,-0.023667868473614677,-0.023852916149713698,0,1,0,0,True,nonzero_neumann_modes_tested
all_convex,2.0,2.0,2.0,0.1584375,0.462764293931,-0.01593024787909092,-0.016115298484923563,0,1,0,0,True,nonzero_neumann_modes_tested
all_convex,2.0,2.0,2.0,0.16486816,0.442202058519,-0.01468131562332699,-0.014866366701871627,0,1,0,0,True,nonzero_neumann_modes_tested
all_convex,2.0,2.0,2.0,0.175,0.407706487584,-0.0126992289336737,-0.012884280750136477,0,1,0,0,True,nonzero_neumann_modes_tested
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.11765625,0.576331315082,-0.013178745644434144,-0.013268137161535905,0,1,0,0,True,nonzero_neumann_modes_tested
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.1584375,0.462764293931,-0.015104240536214028,-0.015167838727242004,0,1,0,0,True,nonzero_neumann_modes_tested
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.16486816,0.442202058519,-0.015370433159871718,-0.015426925956202677,0,1,0,0,True,nonzero_neumann_modes_tested
mixed_growth_concave_conversion_convex,0.5,0.5,2.0,0.175,0.407706487584,-0.01575115997906459,-0.015792818070110314,0,1,0,0,True,nonzero_neumann_modes_tested
weak_or_failed_shape,0.5,1.0,0.5,0.11765625,nan,nan,nan,,,,,False,skipped_no_locally_stable_branch
weak_or_failed_shape,0.5,1.0,0.5,0.1584375,nan,nan,nan,,,,,False,skipped_no_locally_stable_branch
weak_or_failed_shape,0.5,1.0,0.5,0.16486816,nan,nan,nan,,,,,False,skipped_no_locally_stable_branch
weak_or_failed_shape,0.5,1.0,0.5,0.175,nan,nan,nan,,,,,False,skipped_no_locally_stable_branch
